TeamId,TeamName,SubmissionDate,Score
366482,SeaBreeze,"2016-09-02 15:50:24",0.14074
366635,TrevorNell,"2016-09-02 20:07:50",0.20135
366635,TrevorNell,"2016-09-10 21:44:13",0.18627
366635,TrevorNell,"2016-09-10 22:17:04",0.17490
371205,fmartinez,"2016-09-14 11:02:27",0.12805
366635,TrevorNell,"2016-09-16 21:47:38",0.16577
366635,TrevorNell,"2016-09-17 14:20:54",0.14786
372475,macieklesiczka,"2016-09-17 17:36:51",0.69241
372475,macieklesiczka,"2016-09-17 17:45:36",0.64827
372553,algoai,"2016-09-17 21:30:33",0.40890
372553,algoai,"2016-09-17 22:34:23",0.15487
372553,algoai,"2016-09-17 22:55:58",0.15166
372553,algoai,"2016-09-17 23:48:36",0.12941
372553,algoai,"2016-09-18 00:43:13",0.12096
372553,algoai,"2016-09-18 18:33:00",0.12096
372553,algoai,"2016-09-18 18:34:50",0.12096
372553,algoai,"2016-09-18 18:36:23",0.12096
375008,IoA_WolfPack,"2016-09-23 13:50:34",0.12672
375008,IoA_WolfPack,"2016-09-26 14:30:56",0.12549
376826,ChaseDeHan,"2016-09-27 17:52:16",0.17380
375008,IoA_WolfPack,"2016-09-28 12:44:38",0.12329
372553,algoai,"2016-09-29 04:51:09",0.11765
376826,ChaseDeHan,"2016-10-03 16:26:06",0.16233
376826,ChaseDeHan,"2016-10-03 16:55:05",0.13401
376826,ChaseDeHan,"2016-10-04 17:31:52",0.13085
381889,rivasj,"2016-10-07 23:02:59",0.26909
381889,rivasj,"2016-10-08 00:07:34",0.15148
381889,rivasj,"2016-10-08 00:28:56",0.13546
382294,"Carlos H V Pinto","2016-10-08 18:55:37",0.14736
381889,rivasj,"2016-10-09 15:30:35",0.12555
382689,"Martin 3","2016-10-09 15:42:04",0.53461
382689,"Martin 3","2016-10-09 18:04:24",0.16280
382294,"Carlos H V Pinto","2016-10-09 21:52:23",0.13940
382294,"Carlos H V Pinto","2016-10-09 22:32:03",0.13925
382294,"Carlos H V Pinto","2016-10-10 18:29:34",0.13535
382294,"Carlos H V Pinto","2016-10-10 19:29:57",0.13236
382294,"Carlos H V Pinto","2016-10-11 12:30:32",0.12759
382294,"Carlos H V Pinto","2016-10-11 18:34:16",0.12438
385632,glingram,"2016-10-13 17:44:08",0.73042
385632,glingram,"2016-10-13 18:45:08",0.16261
386523,prestond24,"2016-10-14 05:44:31",0.11985
386523,prestond24,"2016-10-14 05:46:59",0.11983
385632,glingram,"2016-10-19 02:08:06",0.13144
385632,glingram,"2016-10-19 17:14:28",0.12233
390591,"Joseph Pinto","2016-10-21 05:49:14",0.12391
382294,"Carlos H V Pinto","2016-10-23 14:34:50",0.12368
382294,"Carlos H V Pinto","2016-10-23 18:01:26",0.12233
382294,"Carlos H V Pinto","2016-10-23 18:41:00",0.12215
382294,"Carlos H V Pinto","2016-10-23 18:52:27",0.12209
382294,"Carlos H V Pinto","2016-10-24 21:46:28",0.12192
382294,"Carlos H V Pinto","2016-10-25 03:23:09",0.12175
393781,Nischal,"2016-10-26 21:01:18",0.16586
393781,Nischal,"2016-10-29 15:16:46",0.12461
393781,Nischal,"2016-10-29 17:22:42",0.12164
396447,FaustinCombe,"2016-11-01 15:48:56",0.17983
397189,ZavodRobotov,"2016-11-01 17:44:42",9.45396
397189,ZavodRobotov,"2016-11-01 17:46:47",0.12086
397189,ZavodRobotov,"2016-11-01 17:55:49",0.11765
397189,ZavodRobotov,"2016-11-02 15:26:49",0.11765
393781,Nischal,"2016-11-04 18:33:26",0.12140
393781,Nischal,"2016-11-04 19:02:09",0.12044
393781,Nischal,"2016-11-04 19:56:45",0.12011
397189,ZavodRobotov,"2016-11-05 12:41:14",0.11654
397189,ZavodRobotov,"2016-11-06 08:15:03",0.11630
397189,ZavodRobotov,"2016-11-06 08:17:03",0.11622
397189,ZavodRobotov,"2016-11-06 08:21:44",0.11603
400289,OBigwood,"2016-11-06 14:40:12",0.13725
400514,Keshav,"2016-11-07 00:56:45",0.42009
400514,Keshav,"2016-11-07 02:42:54",0.26080
397189,ZavodRobotov,"2016-11-07 15:04:50",0.11603
397189,ZavodRobotov,"2016-11-09 12:19:51",0.11595
397189,ZavodRobotov,"2016-11-09 12:21:49",0.11580
397189,ZavodRobotov,"2016-11-10 13:33:59",0.11477
397189,ZavodRobotov,"2016-11-10 19:33:06",0.11468
397189,ZavodRobotov,"2016-11-11 12:44:19",0.11374
397189,ZavodRobotov,"2016-11-11 18:25:22",0.11367
400514,Keshav,"2016-11-17 01:36:07",0.12791
405236,JDMPUJ,"2016-11-17 02:10:26",0.11623
409901,"Anand Kumaresh","2016-11-17 17:00:02",0.12101
400514,Keshav,"2016-11-18 02:56:47",0.12619
405236,JDMPUJ,"2016-11-18 04:06:37",0.11609
410363,MarcoHatt,"2016-11-18 05:47:01",0.79195
400289,OBigwood,"2016-11-18 09:09:55",0.13594
400289,OBigwood,"2016-11-18 12:52:23",0.13496
400289,OBigwood,"2016-11-18 14:21:04",0.11792
411499,R-minator,"2016-11-19 19:46:04",0.13221
400514,Keshav,"2016-11-20 03:40:03",0.12361
397189,ZavodRobotov,"2016-11-20 17:22:42",0.11365
397189,ZavodRobotov,"2016-11-20 17:28:08",0.11288
413111,tt3331024,"2016-11-22 04:19:36",0.40890
413201,UmaimahTahir,"2016-11-22 08:27:52",0.22087
400514,Keshav,"2016-11-23 17:11:45",0.12353
400514,Keshav,"2016-11-23 17:24:57",0.12312
400514,Keshav,"2016-11-23 17:46:25",0.12286
400514,Keshav,"2016-11-23 18:12:54",0.12220
413111,tt3331024,"2016-11-23 22:05:38",0.19845
