"Id","SalePrice"
1461,127773.93
1462,152881.748666667
1463,181523.8342
1464,185084.4159
1465,194921.052733333
1466,182803.811333333
1467,173575.280466667
1468,176787.895066667
1469,177412.9148
1470,128880.804433333
1471,189420.394433333
1472,100856.4892
1473,99379.1577
1474,151399.516333333
1475,134784.0129
1476,371750.944466666
1477,255043.869033333
1478,305805.836
1479,276428.750233333
1480,475239.000166667
1481,305528.681166667
1482,208641.673314286
1483,181498.455466667
1484,173903.5021
1485,176188.5773
1486,198532.5554
1487,317890.606666667
1488,236781.746666667
1489,208220.089333333
1490,216986.050933333
1491,191161.401033333
1492,109583.5213
1493,171212.3242
1494,298107.475033333
1495,296442.7251
1496,230825.8289
1497,189773.065466667
1498,155310.970766667
1499,155294.8989
1500,163105.358633333
1501,172675.062266667
1502,160667.6053
1503,276452.773333333
1504,232290.214933333
1505,221545.672333333
1506,193794.780233333
1507,237736.876433333
1508,191160.730533333
1509,167966.4653
1510,152145.233433333
1511,150557.4458
1512,164870.1969
1513,149442.508733333
1514,153429.6548
1515,184684.418866667
1516,154079.503633333
1517,153163.523166667
1518,136519.2115
1519,208566.216266667
1520,141065.919333333
1521,144517.788333333
1522,162661.108533333
1523,122693.589333333
1524,128637.986966667
1525,128203.184
1526,129016.870833333
1527,109889.425233333
1528,130644.556733333
1529,145179.598133333
1530,166298.221166667
1531,133199.637666667
1532,105472.3952
1533,142000.742333333
1534,118202.8118
1535,147666.667333333
1536,118891.4225
1537,94902.5617
1538,164224.929538095
1539,209445.347166667
1540,125829.464666667
1541,146026.076366667
1542,145764.506033333
1543,187497.954833333
1544,91628.5348333333
1545,107038.1722
1546,123935.5684
1547,140084.045733333
1548,133819.159633333
1549,115817.106166667
1550,146483.455466667
1551,117917.9613
1552,142652.890933333
1553,141377.8182
1554,118396.9257
1555,185001.957266667
1556,129433.3372
1557,129669.3053
1558,103351.9381
1559,134528.837
1560,151798.7779
1561,145763.032633333
1562,127816.195466667
1563,127114.050866667
1564,160303.811133333
1565,157635.1643
1566,226404.382333333
1567,92947.0383333334
1568,223572.0813
1569,148557.979433333
