"Id","SalePrice"
1461,117575.973347526
1462,156371.789389991
1463,192740.705652745
1464,191635.544287765
1465,204727.160871366
1466,171060.658799196
1467,173182.479859518
1468,160515.33876786
1469,202218.735230632
1470,118953.447507692
1471,170018.037941179
1472,89877.1589515369
1473,97256.6443791873
1474,144234.004193749
1475,103321.934066107
1476,372939.046089072
1477,260870.763308827
1478,320164.187732624
1479,292460.004792689
1480,470150.101884277
1481,294330.521331493
1482,210416.373995367
1483,173383.848324355
1484,158317.560514916
1485,176183.981552638
1486,188747.631503997
1487,327879.273632342
1488,222229.915781032
1489,201318.592630354
1490,247940.451689312
1491,198657.537160604
1492,90398.9979476772
1493,182692.479145318
1494,293724.980620805
1495,287189.013170653
1496,238697.525096055
1497,179404.194000366
1498,158363.746159431
1499,151447.611340676
1500,147059.853051674
1501,189772.859978386
1502,137505.979126682
1503,296074.901997714
1504,237074.978884866
1505,215573.1120295
1506,193734.427356166
1507,257416.938491627
1508,209246.269738662
1509,154417.035792889
1510,142496.097280258
1511,149372.310354107
1512,189233.071296259
1513,150159.076226332
1514,157127.742433422
1515,216603.903500878
1516,152298.645961079
1517,177456.199037632
1518,121856.274545839
1519,213075.410326267
1520,134556.456140815
1521,136873.983170538
1522,180061.425062822
1523,120423.884534702
1524,124475.659057241
1525,119306.436878625
1526,110588.892434313
1527,104655.185558647
1528,126780.148112161
1529,156817.494897666
1530,207705.275406523
1531,125201.331969692
1532,90013.3292327997
1533,172596.817529526
1534,128299.693235082
1535,161786.4382268
1536,93286.3914593706
1537,88821.2040075717
1538,162659.791744222
1539,213068.469889977
1540,109389.32220797
1541,131723.559748776
1542,166040.64637303
1543,199802.577065657
1544,83358.0491113177
1545,122337.522807406
1546,126217.801680205
1547,141065.651205465
1548,145114.116261093
1549,123729.88940368
1550,140465.97578227
1551,102959.760695075
1552,154569.01329222
1553,141256.456952768
1554,112911.684486442
1555,165554.888818769
1556,57665.7108434593
1557,111239.267510737
1558,100646.177793311
1559,132023.449885843
1560,131568.636394935
1561,120564.579731446
1562,128705.086211873
1563,120189.473058166
1564,171034.563058815
1565,149172.916481476
1566,231252.081931528
1567,70412.4569267278
1568,214075.863853989
1569,154258.784520614
1570,127346.62287715
1571,107073.920427154
1572,152125.483678754
1573,271094.423758929
1574,125475.903578454
1575,233306.208778281
1576,244216.625758508
1577,181769.610622945
1578,150762.617635029
1579,155949.965544899
1580,192789.293159695
1581,154022.461537926
1582,128550.38340183
1583,286342.747150035
1584,215371.244294918
1585,130483.492216337
1586,76880.0207544678
1587,92009.5344341542
